< a a a a a a a a a a a a a a a a a a a a d >
[ Age    Foreign    Job    Status    History    Housing    Employ_Time    Depends    Balance    Aim    Amount    Duration    Savings    Rate    Guarantee    Residence_Time    Properties    Debits    Accounts    Phone    Granted ]
   67   Yes   Skilled            Male_Single      Critical     Own    7more        1   Negative   TV            1169    6    None        4   None           4   House     None     2   Yes   Yes
   22   Yes   Skilled            Female_Married   Paied        Own    1to4         1   0to200     TV            5951    48   100Less     2   None           2   House     None     1   No    No
   49   Yes   Unskilled          Male_Single      Critical     Own    4to7         2   None       A46           2096    12   100Less     2   None           3   House     None     1   No    Yes
   45   Yes   Skilled            Male_Single      Paied        Free   4to7         2   Negative   Furniture     7882    42   100Less     2   Guarantor      4   Finance   None     1   No    Yes
   53   Yes   Skilled            Male_Single      Delays       Free   1to4         2   Negative   New_Car       4870    24   100Less     3   None           4   None      None     2   No    No
   35   Yes   Unskilled          Male_Single      Paied        Free   1to4         2   None       A46           9055    36   None        2   None           4   None      None     1   Yes   Yes
   53   Yes   Skilled            Male_Single      Paied        Own    7more        1   None       Furniture     2835    24   500to1000   3   None           4   Finance   None     1   No    Yes
   35   Yes   Highly_Qualified   Male_Single      Paied        Rent   1to4         1   0to200     Used_Car      6948    36   100Less     2   None           2   Mobile    None     1   Yes   Yes
   61   Yes   Unskilled          Male_Divorced    Paied        Own    4to7         1   None       TV            3059    12   1000More    2   None           4   House     None     1   No    Yes
   28   Yes   Highly_Qualified   Male_Married     Critical     Own    Unemployed   1   0to200     New_Car       5234    30   100Less     4   None           2   Mobile    None     2   No    No
   25   Yes   Skilled            Female_Married   Paied        Rent   1Less        1   0to200     New_Car       1295    12   100Less     3   None           1   Mobile    None     1   No    No
   24   Yes   Skilled            Female_Married   Paied        Rent   1Less        1   Negative   Business      4308    48   100Less     3   None           4   Finance   None     1   No    No
   22   Yes   Skilled            Female_Married   Paied        Own    1to4         1   0to200     TV            1567    12   100Less     1   None           1   Mobile    None     1   Yes   Yes
   60   Yes   Unskilled          Male_Single      Critical     Own    7more        1   Negative   New_Car       1199    24   100Less     4   None           4   Mobile    None     2   No    No
   28   Yes   Skilled            Female_Married   Paied        Rent   1to4         1   Negative   New_Car       1403    15   100Less     2   None           4   Mobile    None     1   No    Yes
   32   Yes   Unskilled          Female_Married   Paied        Own    1to4         1   Negative   TV            1282    24   100to500    4   None           2   Mobile    None     1   No    No
   53   Yes   Skilled            Male_Single      Critical     Own    7more        1   None       TV            2424    24   None        4   None           4   Finance   None     2   No    Yes
   25   Yes   Skilled            Male_Single      No_Credits   Own    1Less        1   Negative   Business      8072    30   None        2   None           3   Mobile    Bank     3   No    Yes
   44   Yes   Highly_Qualified   Female_Married   Paied        Free   7more        1   0to200     Used_Car      12579   24   100Less     4   None           2   None      None     1   Yes   No
   31   Yes   Skilled            Male_Single      Paied        Own    7more        2   None       TV            3430    24   500to1000   3   None           2   Mobile    None     1   Yes   Yes
   48   Yes   Skilled            Male_Single      Critical     Own    1to4         1   None       New_Car       2134    9    100Less     4   None           4   Mobile    None     3   Yes   Yes
   44   Yes   Skilled            Male_Single      Paied        Rent   1to4         2   Negative   TV            2647    6    500to1000   2   None           3   House     None     1   No    Yes
   48   No    Unskilled          Male_Single      Critical     Rent   1Less        2   Negative   New_Car       2241    10   100Less     1   None           3   House     None     2   No    Yes
   44   Yes   Skilled            Male_Single      Critical     Own    1Less        1   0to200     Used_Car      1804    12   100to500    3   None           4   Finance   None     1   No    Yes
   26   No    Skilled            Male_Married     Critical     Own    1to4         1   None       Furniture     2069    10   None        2   None           1   Mobile    None     2   No    Yes
   36   Yes   Unskilled          Male_Single      Paied        Own    1to4         1   Negative   Furniture     1374    6    100Less     1   None           2   House     Bank     1   Yes   Yes
   39   Yes   Unskilled          Male_Married     No_Credits   Own    7more        1   None       TV            426     6    100Less     4   None           4   Mobile    None     1   No    Yes
   42   Yes   Skilled            Female_Married   All_Paied    Rent   1to4         1   200More    TV            409     12   1000More    3   None           3   House     None     2   No    Yes
   34   Yes   Skilled            Male_Single      Paied        Own    1to4         1   0to200     TV            2415    7    100Less     3   Guarantor      2   House     None     1   No    Yes
   63   Yes   Skilled            Male_Single      Delays       Own    7more        1   Negative   Business      6836    60   100Less     3   None           4   None      None     2   Yes   No
   36   Yes   Skilled            Male_Married     Paied        Own    1Less        1   0to200     Business      1913    18   1000More    3   None           3   House     Bank     1   Yes   Yes
   27   Yes   Skilled            Male_Single      Paied        Own    1to4         1   Negative   Furniture     4020    24   100Less     2   None           2   Mobile    Stores   1   No    Yes
   30   Yes   Skilled            Male_Single      Paied        Own    1to4         1   0to200     New_Car       5866    18   100to500    2   None           2   Mobile    None     2   Yes   Yes
   57   Yes   Unskilled          Male_Single      Critical     Rent   7more        1   None       Business      1264    12   None        4   None           4   None      None     1   No    Yes
   33   Yes   Highly_Qualified   Female_Married   Paied        Own    1Less        1   200More    Furniture     1474    12   100Less     4   None           1   Finance   Bank     1   Yes   Yes
